news,price,date
2022微信公开课PRO开讲：视频号上线两周年 推出“创作者激励计划”,51.86,2013-1-25
微信小程序日活突破4.5亿 视频号或探索打赏和付费直播,51.98,2013-1-28
腾讯入场！微信支持数字人民币支付,51.86,2013-1-29
100亿砸向腾讯！3万亿巨头最新年报曝光,52.56,2013-1-30
支付分推出音视频会员“先看后付”、视频号有望开发付费内容……张小龙没来 但微信公开课透露这些动作,52.68,2013-1-31
2022微信公开课来了！视频号、微信支付、小程序齐亮相 带来这些信息,52.13,2013-2-1
腾讯正式接入！微信支持数字人民币支付,52.17,2013-2-4
数字人民币试点版App来了！腾讯提供数字人民币服务、美团试点“外卖”支付场景,51.51,2013-2-5
2022微信公开课：主题是“入微” 没有新产品发布,51.82,2013-2-6
视频号、小程序、搜一搜…2022微信公开课透露了哪些变化？,52.79,2013-2-7
接连大手笔减持 腾讯为何此时“卖卖卖”？,52.52,2013-2-8
注意！微信支付发布最新公告,52.75,2013-2-14
腾讯控股：回购46万股公司股份 耗资2.04亿港元,53.26,2013-2-15
在线支付渗透率已接近“天花板” 微信支付如何破局？,53.37,2013-2-18
互联网股票见底了吗？腾讯大举回购 小米出手密集 京东、阿里加码 机构这么看！,53.37,2013-2-19
“抄底指标”出现？腾讯开年回购4亿港元,53.69,2013-2-20
点外卖几秒就搞定！布局数字人民币 美团、腾讯、小米火速加入 全面应用不远了？,52.75,2013-2-21
微信入局数字人民币 确定性大趋势下看好板块受益,51.32,2013-2-22
腾讯加速布局元宇宙 拟收购小米旗下游戏商黑鲨科技,51.39,2013-2-25
腾讯被曝拟收购游戏手机商黑鲨科技 或成元宇宙生态硬件入口,51.82,2013-2-26
腾讯控股获南向资金连续4天净买入,51.28,2013-2-27
腾讯控股：今日回购45万股股份 耗资约2.04亿港元,52.05,2013-2-28
腾讯控股：今日回购45万股股份 耗资约2.04亿港元,52.13,2013-3-1
腾讯拟收购游戏手机厂商黑鲨 正式进军元宇宙,53.22,2013-3-4
腾讯要收购手机公司？绯闻对象有啥嫁妆：元宇宙入口,53.45,2013-3-5
收购黑鲨科技？腾讯意在元宇宙,54.11,2013-3-6
腾讯控股4天获南向资金净买入,54.27,2013-3-7
减持京东和Sea后 腾讯继续投资新兴产业 或入股黑鲨开发元宇宙硬件,55.2,2013-3-8
不做手机的腾讯想收购黑鲨科技 能否打破互联网公司做不好手机的魔咒？,54.66,2013-3-11
腾讯拟收购黑鲨科技 硬件梦在能否在全真互联网圆？,54.03,2013-3-12
企业微信4.0发布：与视频号连接 与腾讯文档、腾讯会议互联,54.0,2013-3-13
企业微信披露最新数据：活跃用户超1.8亿 服务微信活跃用户5亿,53.53,2013-3-14
微信首场“碳中和”公开课广州开讲,53.22,2013-3-15
腾讯控股：今日回购44万股股份 耗资约2.02亿港元,51.08,2013-3-18
腾讯控股获南向资金连续5天净买入,50.31,2013-3-19
腾讯控股回购44万股股份 价格区间为454.2港元-461.8港元 耗资约2.02亿港元,51.01,2013-3-20
腾讯花2亿港元回购44万股,48.99,2013-3-21
腾讯会议用户参会超40亿次 视频会议市场强势发力,47.63,2013-3-22
企业微信举行2022新品发布会 打通视频号上线微信客服,46.74,2013-3-25
刷屏！马化腾：腾讯只是一家普通公司 随时都可以被替换,48.21,2013-3-26
互联网巨头创投业务“大刹车”？大数据告诉你实情是这样的 投资方向实打实已生变！,48.64,2013-3-27
腾讯投资智慧能源创新公司深智控,47.9,2013-3-28
腾讯投资智慧能源创新服务商深度智控,47.12,2013-4-2
腾讯企业微信副总裁李致峰：企业的数字化转型不止于公司内部 要接入整个社会的价值网络,47.12,2013-4-3
腾讯控股获南向资金连续6天净买入,46.04,2013-4-5
腾讯今年已回购184万股 涉资逾10亿港元,46.81,2013-4-8
腾讯“一门三杰”合体 企业微信“连接力”再进化,48.06,2013-4-9
“抄底指标”应验？腾讯市值5天增逾4800亿港元！恒生科技指数单日涨近5%,48.41,2013-4-10
腾讯是一家“普通公司”吗？,48.6,2013-4-11
开源证券首次覆盖腾讯控股买入评级,48.52,2013-4-12
紫光展锐携手腾讯QQ实现RTOS端应用部署,47.75,2013-4-15
腾讯控股：今日回购35.14万股股份 耗资约1.67亿港元,47.47,2013-4-16
腾讯玩偶外观设计专利获授权,48.52,2013-4-17
腾讯控股：今日回购43万股股份 耗资约2.01亿港元,47.98,2013-4-18
腾讯控股今日回购43万股股份 耗资约2.01亿港元,49.1,2013-4-19
腾讯控股今日回购43万股股份 耗资2.01亿港元,49.49,2013-4-22
腾讯元宇宙再落子  收购黑鲨“已到最后阶段”？,48.83,2013-4-23
60秒语音不必从头听到尾 新版本微信语音终于可以暂停了,49.38,2013-4-24
重磅更新！微信60秒长语音不用再从头听了 网友：删除好友提醒、朋友圈要发动态图,49.61,2013-4-25
微信上线语音消息“暂停”功能 为“行政指导”后首次产品更新,50.27,2013-4-26
微信新功能来了！涉及视频号、语音消息等 网友：还不够,50.85,2013-4-29
腾讯游戏发布寒假限玩日历：假期未成年人打游戏时间合计不超14个小时,51.67,2013-4-30
腾讯游戏公布2022年寒假未成年人限玩时间 未成年人最多玩14小时游戏,53.06,2013-5-2
腾讯发寒假未成年网游限玩通知：仅周五六日和春节每天1小时,52.6,2013-5-3
寒假来了 腾讯公布重要安排！,53.34,2013-5-6
放大招！腾讯游戏发布未成年人寒假限玩日历 最多可玩14小时,53.41,2013-5-7
微信新功能：支持批量删除好友 60秒语音不用从头听,53.3,2013-5-8
中金公司维持腾讯控股中性评级 目标价527港元,53.14,2013-5-9
腾讯游戏发布未成年人寒假限玩日历 最多可玩14小时,53.72,2013-5-10
腾讯游戏寒假限玩 未成年人最多玩14小时 网友：哈哈哈哈我要转给我弟,52.17,2013-5-13
中交集团与腾讯联合推出电子工卡 覆盖12万农民工,52.37,2013-5-14
腾讯：骄子微卡覆盖中交集团超过320个标段项目,53.26,2013-5-15
东兴证券维持腾讯控股强烈推荐评级,56.71,2013-5-16
腾讯投资企云方 后者专注于企业经营计划与分析,60.05,2013-5-20
2021胡润中国500强发布：腾讯价值跌去1万亿仍居第一 恒大落榜,59.0,2013-5-21
广发证券维持腾讯控股买入评级 目标价607港元,58.81,2013-5-22
国海证券维持腾讯控股买入评级 目标价620港元,56.83,2013-5-23
腾讯控股今日回购45万股股份 耗资2.04亿港元,58.11,2013-5-24
网传腾讯准备27亿收购小米集团旗下黑鲨科技 业内人士：尚处于洽谈当中,58.3,2013-5-27
招银国际维持腾讯控股买入评级 目标价590港元,59.04,2013-5-28
中信证券维持腾讯控股买入评级 目标价554港元,58.93,2013-5-29
游戏人均支出344元 氪金王腾讯、网易现吃老本隐忧,59.74,2013-5-30
腾讯：与亚洲奥林匹克理事会达成战略合作,59.74,2013-5-31
腾讯控股：今日回购44万股股份 耗资约2.045亿港元,58.85,2013-6-3
腾讯控股：今日耗资约2.04亿港元回购44万股,58.89,2013-6-4
亚奥理事会与腾讯达成战略合作 共同打造电子体育专项赛事,58.3,2013-6-5
微信通过首批适老化及无障碍水平评测,58.27,2013-6-6
“公募一哥”张坤四季报：加仓腾讯控股、海康威视、伊利股份 高端白酒股成减仓重点,58.19,2013-6-7
腾讯投资更号三 后者经营范围含数字动漫制作,59.24,2013-6-10
砍仓白酒！增持腾讯！中概互联迎来好消息 还有多名百亿基金经理调仓曝光,59.16,2013-6-11
公募一哥张坤风格转变？四季度减持多家酒企 这只股票成旗下多只基金NO.1,57.8,2013-6-13
腾讯给2.29万员工发股票 人均价值16.6万港元,58.38,2013-6-14
腾讯控股：向不少于2.28万员工授予合共800.48万股奖励股份,58.42,2013-6-17
腾讯控股：拟向不少于2.28万名员工授予超800万股奖励股份,58.34,2013-6-18
别人家的“年终奖”！腾讯给22800名员工发800万股 平均每人16.6万港元,58.15,2013-6-19
亚奥理事会与腾讯达成战略合作 共促亚洲电竞发展,56.32,2013-6-20
腾讯向2.28万员工授予人均16.6万港元股票,55.47,2013-6-21
腾讯向超2万名员工奖励股票 人均价值16.6万港元,54.07,2013-6-24
腾讯向超2万名员工发股票 人均价值16.6万港元,55.0,2013-6-25
寒假只能玩14小时 腾讯游戏“限玩令”能防沉迷吗？,56.36,2013-6-26
这才是“王炸年终奖”！腾讯800万股份“送给”2.28万员工 还有每天2亿“红包”,57.8,2013-6-27
腾讯向2万多人奖励股票 人均获市值16万港元,59.04,2013-6-28
扎心了！4万亿巨头宣布：再派38亿大红包！超2万人要笑了 千亿张坤刚刚加仓！,58.58,2013-7-2
“喝酒买醉”热情减退 腾讯控股跻身张坤旗下三只基金头号重仓股,57.99,2013-7-3
人均13万 别人家的年终奖！腾讯向2万余员工派发38亿港元股份,59.47,2013-7-4
腾讯旗下微信、QQ音乐等通过工信部首批适老化及无障碍水平评测,59.86,2013-7-5
微信视频号上线首个付费直播间 直播NBA常规赛,58.69,2013-7-8
腾讯、招商港口成立港腾互联科技公司,58.5,2013-7-9
腾讯投资柠檬茶饮品牌柠季,59.08,2013-7-10
深圳港腾互联科技有限公司成立 注册资本5000万,60.32,2013-7-11
腾讯发布反舞弊通报 去年10余人因涉嫌犯罪被移送公安机关处理,60.13,2013-7-12
腾讯发反舞弊通报：去年近70人被辞退 10余人被移送公安机关处理,62.38,2013-7-15
腾讯发布2021年反舞弊通报：近70人因触犯“腾讯高压线”遭辞退,64.01,2013-7-16
腾讯披露2021反舞弊情况：辞退近70人 有人将黑手伸向实习生,64.05,2013-7-17
腾讯去年近70人因贪腐被辞退 马化腾内部称“零容忍”,63.62,2013-7-18
腾讯申请敲一敲商标获批,64.79,2013-7-19
腾讯成立腾瑞商业管理合伙企业,63.58,2013-7-22
腾讯：去年近70人涉贪腐被辞退 10余人涉嫌犯罪被移送公安,64.55,2013-7-23
“鹅厂”铁腕反腐！去年近70人被辞退 10余人移送公安机关 13家公司被永久拉黑,64.2,2013-7-24
腾讯控股获南向资金连续4天净买入,64.9,2013-7-25
70人被辞退！腾讯出手“反腐”：这13家公司被拉黑！,67.43,2013-7-26
腾讯视频制片人张萌被移送公安机关 曾制作《你是我的荣耀》等热播剧,67.85,2013-7-29
“鹅厂”出手反腐：10多人被移送公安 近70人被辞退 13家企业被“拉黑”,70.57,2013-7-30
腾讯入股四维八方 后者经营范围含动漫游戏开发,68.28,2013-7-31
腾讯控股获南向资金连续4天净买入,69.99,2013-8-1
安信证券维持腾讯控股买入评级 目标价589港元,69.91,2013-8-2
腾讯入股归芯科技,72.01,2013-8-5
腾讯投资归芯科技,72.9,2013-8-6
腾讯于深圳成立腾瑞商业管理合伙企业,69.91,2013-8-7
腾讯投资心域科技 持股52.98%成大股东,69.17,2013-8-8
微信推出拜年红包功能：私聊红包金额随机 群聊能发直播红包,69.37,2013-8-9
腾讯应届生公司群内怒怼管理层 高管连夜回应：认真反思 尽快整改,71.31,2013-8-12
腾讯企业微信员工在公司群怒怼加班 高管回应：很惭愧、尽快整改,71.81,2013-8-13
腾讯反悔了！减持后又溢价买回 这家公司曾凭“李焕英”股价飙涨4倍,71.42,2013-8-15
腾讯应届生公开质疑过度加班 部门负责人这样回应,71.15,2013-8-16
腾讯又刷屏！应届生因高强度加班 怒怼管理层 紧急回应！网友：我辈楷模！,71.85,2013-8-19
腾讯应届生怒怼“过度加班” 业务负责人回应：尽快优化调整,70.65,2013-8-20
因高强度加班 腾讯员工怒怼管理层！高管紧急回应！,69.87,2013-8-21
应届生公司群怒怼管理层？腾讯高管回应：认可直言态度 尽快整改,69.87,2013-8-22
全球品牌价值500强发布：微信蝉联最强 华为重返前十 比亚迪增速快,69.06,2013-8-23
腾讯在成都成立商业管理公司 注册资本1亿元,69.25,2013-8-26
国泰君安证券(香港)下调腾讯控股增持评级 目标价585港元,70.26,2013-8-27
微信更新多项新功能 多个“微信键盘”商标被驳回,69.13,2013-8-28
腾讯将收购斗鱼并私有化？双方均不予置评,70.22,2013-8-29
战略上存在分歧 腾讯拟将斗鱼私有化？双方均表示不予置评,70.57,2013-8-30
腾讯在大连成立北境互娱公司 注册资本1500万,73.06,2013-9-2
腾讯在海南成立新公司 经营范围含软件开发,73.72,2013-9-3
全球上市公司市值百强榜（2021）：11家中国上市公司入榜 腾讯阿里跌出前十,73.56,2013-9-4
英雄体育VSPN启动港股IPO 腾讯持股13.54%,75.23,2013-9-5
微信红包封面火爆 竟比红包还难抢！有商家靠卖封面月入近百万 官方回应了,75.11,2013-9-6
微信2022除夕数据出炉：6.88亿人抢红包 1.2亿人在视频号看春晚,75.77,2013-9-9
微信除夕数据：6.88亿人抢红包 1.2亿人在视频号看春晚,77.44,2013-9-10
除夕共有6.88亿人参与抢微信红包,78.06,2013-9-11
微信除夕夜数据：6.88亿人在抢红包 1.2亿人在看春晚,80.12,2013-9-12
除夕当天6.88亿人抢微信红包 1.2亿人竖屏看春晚,79.73,2013-9-13
“为了抢它 这辈子没上过这么多闹钟”！月入百万的新生意火爆出圈 微信官方提示,81.75,2013-9-16
这碗面值70亿！“新面馆第一股”要来了 一天卖15万碗面 腾讯、绝味纷纷抢食,81.28,2013-9-17
虎年首批新股！疫苗龙头来了：张磊、腾讯都“笑了”,78.1,2013-9-18
腾讯入股兰州牛肉面品牌马记永,79.62,2013-9-19
腾讯收购侦侦日上文化创意公司23.53%股权,79.42,2013-9-23
腾讯投资《明星大侦探》前导演公司侦侦日上,78.14,2013-9-24
微信：2022春节期间带封面的红包收发超50亿个,79.5,2013-9-25
野村东方国际证券维持腾讯控股增持评级 目标价586港元,79.38,2013-9-26
怼腾讯的应届生被标注永不录用？回应：找工作没受阻 即将入职,81.09,2013-9-27
腾讯牵头首个区块链数字藏品国际标准立项,78.96,2013-9-30
腾讯调整内容业务板块 “赚钱”并不是腾讯做影视的第一目标,80.55,2013-10-2
QQ团队内测超级QQ秀,81.48,2013-10-3
腾讯影业主体将并入企业发展事业群 Arm任命Rene Haas为新任首席执行官,81.36,2013-10-4
爷青回？ 时隔近20年腾讯对QQ秀进行“升级”  超级QQ秀已经开启测试,80.97,2013-10-7
一夜蹿红！一社交App登苹果商店榜首 超微信小红书…被指抄袭怎么回事？,82.68,2013-10-8
腾讯京东联想同时退出小熊U租关联公司股东,80.31,2013-10-9
凌晨官宣！微信今天开放这个限定红包 你有人可以发吗？,79.54,2013-10-10
微信上线撒狗粮吃狗粮状态！情人节微信再支持520红包 网友：为啥不支持1314呢,81.32,2013-10-11
中国银河维持传媒互联网行业推荐评级：1月中国手游发行商全球吸金22.6亿元 腾讯游戏收入环比回升,81.87,2013-10-15
翻倍增持腾讯！这家海外巨头大动作 却在减持A股这些标的 啥情况？,81.79,2013-10-16
港铁也能扫码过闸了！腾讯乘车码进入香港港铁重铁全线,81.56,2013-10-17
大卫·芬奇回应《搏击俱乐部》被腾讯视频更改结局,83.42,2013-10-18
追查个人收款码4年数据、数额大要补税？微信支付：谣言,86.91,2013-10-21
腾讯回应“追查4年转账记录补税”：谣言,85.24,2013-10-22
劲爆！追查个人收款码近4年数据 还要补税？微信、支付宝紧急回应！,83.5,2013-10-23
银河证券：长期来看游戏行业仍具备较好的成长性（附股）,83.23,2013-10-24
西部证券维持腾讯控股买入评级,82.72,2013-10-25
腾讯维权盗版Switch游戏机商店胜诉,84.04,2013-10-28
微信重要更新！新增聊天图片搜索功能 车载版已接入奥迪、宝马等15家厂商,81.21,2013-10-29
微信又出新功能了 网友：真香！,83.19,2013-10-30
腾讯增资工业互联网平台开发商云道智造,82.14,2013-10-31
微信上线新功能！网友：真香！,82.02,2013-11-1
腾讯捐助1000万元港币驰援香港战疫,80.9,2013-11-4
腾讯增资仿真软件研发商云道智造,79.93,2013-11-5
腾讯再次入股云道智造 后者专注于开发工业互联网平台,79.96,2013-11-6
腾讯退出爱作业公司股东,79.07,2013-11-7
腾讯申请注册“小鹅相册”商标,77.91,2013-11-8
中概又崩了 一则假消息引发惨案？腾讯、B站大跳水！刚刚紧急回应！,79.81,2013-11-11
腾讯澄清“重锤”传言 消息源头用户已主动销户,79.38,2013-11-12
腾讯澄清“将被重锤”传言 消息源头某雪球用户已主动销户,76.2,2013-11-13
华泰证券维持腾讯控股买入评级 目标价584.4港元,79.73,2013-11-14
腾讯辟谣重锤落地谣言 传谣雪球用户疑似已销号,81.44,2013-11-15
突发！腾讯控股市值蒸发2500亿 只因一则“谣言”？腾讯公关部总经理最新回应,82.68,2013-11-18
游戏股集体下挫 腾讯否认“遭重锤”,81.32,2013-11-19
什么情况？腾讯蒸发2500亿！B站、快手、美团也大跌！“元宇宙”又有大动作,81.32,2013-11-20
传游戏版号暂停审批？腾讯股价跳水“带垮”游戏股集体大跌,81.87,2013-11-21
腾讯音乐“律动元宇宙”商标申请被驳回 多家大厂申请遇挫,82.41,2013-11-22
离奇暴跌！腾讯怒斥：喊重锤却销号跑路 空虚综合症？！B站、快手也重挫，啥情况？,85.01,2013-11-25
一张截图 腾讯2000亿市值蒸发 高管辟谣！2022年游戏版号停发？多方回应……,84.82,2013-11-26
利空密集轰炸 腾讯市值蒸发近2000亿元！行业发生了什么？各方最新回应来了,85.67,2013-11-27
一则假消息 腾讯市值蒸发2362亿港元 这些股票也重挫 腾讯澄清：po主已销号跑路,85.79,2013-11-28
恐慌情绪拉崩港股中概互联 腾讯开盘跌2%,87.03,2013-11-29
腾讯遭“重锤”？ 恐慌情绪拉崩港股中概互联,88.16,2013-12-2
腾讯机器人外观专利获授权，该产品可用于巡逻勘探,86.91,2013-12-3
腾讯回应关停小鹅拼拼：业务调整 员工可在集团内重新选择岗位,86.1,2013-12-4
小鹅拼拼即将关停 腾讯再次折戟电商,87.3,2013-12-5
腾讯电商项目“小鹅拼拼”关停 员工将内部转岗,89.28,2013-12-6
游戏版号停发7个月：2000家相关企业注销！行业洗牌期出海成救命稻草,89.75,2013-12-9
微信：3月1日之后个人收款码可继续使用,90.48,2013-12-10
小鹅拼拼关停 腾讯电商试水再次受挫,92.11,2013-12-11
腾讯企鹅影视于海南成立影视文化传播公司,90.72,2013-12-12
腾讯回应小鹅拼拼关停：业务调整 员工可在集团内重新选择匹配岗位,90.48,2013-12-13
个人收款码不关闭不停用,91.8,2013-12-16
腾讯“净零行动”：2030年将实现全面碳中和,90.41,2013-12-17
腾讯开始“净零行动” 2030年前实现自身运营及供应链碳中和,90.68,2013-12-18
腾讯官宣公司碳中和目标 覆盖自身运营、数据中心等,90.02,2013-12-19
腾讯股价遭谣言重捶 监管应“重捶”造谣者,89.98,2013-12-20
腾讯于浙江成立新公司 注册资本8000万,90.68,2013-12-23
不晚于2030年实现100%绿色电力 腾讯如何实现这一目标？,91.07,2013-12-24
腾讯于浙江成立新公司 注册资本8000万,93.78,2013-12-27
腾讯收购《国王的恩赐》系列游戏开发商1C Entertainment,96.23,2013-12-30
香港公益金运用腾讯捐款助力香港抗疫 发放“抗疫包”25000个,96.0,2013-12-31
段永平再出手！三券商资管自购！更明显抄底信号？,97.92,2014-1-2
腾讯投资分叉智能 后者为机器人流程自动化服务商,95.88,2014-1-3
财付通延长降费让利时间：符合标准小微商户支付服务费打九折,96.19,2014-1-6
财付通多项降费措施延续 个人收款码提现手续费减免,95.88,2014-1-7
微信支付：个体工商户支付手续费公示标准基础上打9折,97.34,2014-1-8
海外中国股票基金大动作 翻倍增持腾讯 “宁王”被减持！各路资金凶猛抄底互联网,95.69,2014-1-9
挪威政府全球养老基金持有腾讯控股约316亿元人民币,96.54,2014-1-10
腾讯控股总市值失守4万亿港元,96.38,2014-1-13
腾讯控股触及400港元关口 现跌约4.5% 创2020年5月以来新低,95.69,2014-1-14
腾讯控股触及400港元关口 现跌约4.5%,98.69,2014-1-15
中金公司维持腾讯控股中性评级 目标价527港元,99.47,2014-1-16
马化腾建议：引导技术、资金等资源要素真正流向实体领域,102.67,2014-1-17
越跌越买！海外资管巨头翻倍增持 全球最大主权基金重仓买入 都是这只股票,101.02,2014-1-20
珍惜400港元的腾讯？段永平不孤单 海外第三、第四大中国股票基金“抄底”来了,100.93,2014-1-21
全国人大代表、腾讯董事会主席兼首席执行官马化腾：推进“数实融合”打造数字经济新优势,102.28,2014-1-22
马化腾两会提六方面建议：推进“数实融合” 引导技术、资金真正流向实体领域,101.31,2014-1-23
腾讯股价腰斩 段永平被套 如何穿越被动？简单策略远胜复杂策略 买入并持有 芒格、王国斌等是如何做到的？,97.24,2014-1-24
互联网信仰不再？腾讯退守400港元 市值跌破4万亿！大佬却在逢低买入,94.99,2014-1-27
腾讯市值跌破4万亿港币 创近年来新低,97.63,2014-1-28
腾讯股价跌破每股400元关口 业内：大盘承压 短期下跌趋势难改,103.26,2014-1-29
中信建投证券维持腾讯控股买入评级,105.49,2014-1-30
微信发布重要提醒！,99.08,2014-2-4
腾讯控股获南向资金连续6天净买入,99.08,2014-2-5
腾讯控股连续6天获南向资金净买入,98.69,2014-2-6
腾讯发布“净零行动”  推进能源行业数字技术实践,101.8,2014-2-7
“每掉10%加仓一次！”段永平透露加仓腾讯想法 还有这些资金买入互联网中概股,103.55,2014-2-10
首届腾讯数字安全创新大赛启动 挖掘新锐力量推动产业创新,102.87,2014-2-11
微信支付电子小票上线,104.42,2014-2-12
游戏版号传言再起 业内：未接到通知 仍需官方最终确认,104.81,2014-2-13
微信支付电子小票上线 用户无需申领即可查看及保存小票,106.46,2014-2-14
男孩玩游戏3天充值逾2万家长要退款，腾讯：正协商,112.57,2014-2-17
腾讯控股获南向资金连续8天净买入,113.45,2014-2-18
家长称孩子玩游戏3天充两万续：腾讯退一万三,113.06,2014-2-19
腾讯控股跌超5% 最低触及364.6港元 创2020年4月以来新低,109.56,2014-2-20
《王者荣耀》海外版已升级为战略级项目？分析称腾讯此举或为重新完善的信号,112.67,2014-2-21
腾讯增资时垠电商 后者专注于美妆个护等产品开发,112.18,2014-2-24
腾讯控股尾盘跳水 跌幅扩大至10%,111.7,2014-2-25
杀疯了！腾讯罕见闪崩10% 港股大跌千点！外资净卖出近150亿！,113.74,2014-2-26
尾盘跳水 腾讯控股跌近10%,119.66,2014-2-27
游戏又迎强监管！限制未成年人网游、直播消费额,120.82,2014-2-28
“黑色星期一”！A股2万亿市值灰飞烟灭！恒指暴跌5% 腾讯罕见闪崩10%,116.84,2014-3-3
腾讯控股获南向资金连续10天净买入,118.88,2014-3-4
腾讯控股连续10天获南向资金净买入,120.82,2014-3-5
腾讯一度跌超8% 网传大规模裁员要来了？摩根大通下调目标价,123.25,2014-3-6
知名投资者段永平表示要卖苹果 加仓腾讯,122.37,2014-3-7
港股也在踩踏！阿里和腾讯再度暴跌,119.66,2014-3-10
投资大佬段永平再出手：计划卖出伯克希尔、买入腾讯！还有知名私募2000万自购,119.85,2014-3-11
腾讯跌破300港元！段永平：不等了！卖苹果、卖伯克希尔 “抄底”腾讯！,116.84,2014-3-12
传裁员30%？腾讯部分事业群开启“优化” 股价跌逾10％,114.12,2014-3-13
段永平公开表示将加仓腾讯控股,109.47,2014-3-14
腾讯跌破300港元 段永平高喊：不等了！卖苹果、伯克希尔 抄底腾讯,106.07,2014-3-17
不等了！段永平要“抄底”腾讯 现在是好时机吗？,112.18,2014-3-18
港股科技股见底了吗？“卖苹果卖巴菲特”买腾讯 段永平又出手 什么信号？这些资金早已盯上,110.15,2014-3-19
腾讯控股盘中拉升涨近9% 最新总市值为3.11万亿港元,108.3,2014-3-20
改了! 微信、抖音、淘宝、今日头条等关闭了这一按钮,111.12,2014-3-21
事关2亿人 微信支付联合微保推出的数字化解决方案值得关注,113.93,2014-3-24
腾讯控股获南向资金连续12天净买入,108.4,2014-3-25
微信支付发布2021智慧社保数据报告：年缴费超7.5亿笔 用户人均缴费523元,107.53,2014-3-26
东兴证券维持腾讯控股强烈推荐评级,101.22,2014-3-27
腾讯启动阳光开发者2022—SDK合规专项行动,103.84,2014-3-28
腾讯启动专项合规行动 进一步完善SDK用户权益保护机制,104.71,2014-3-31
快讯！腾讯自动驾驶虚拟建筑生成专利公布,109.37,2014-4-1
腾讯2021研发大数据：日均提交代码12万次 Go语言热度首次超越C++,108.98,2014-4-2
港股腾讯控股股价重回400港元关口 现涨超3％,106.07,2014-4-3
腾讯控股：2021年全年净利润2248.2亿元 去年同期1598.47亿元,101.9,2014-4-4
腾讯2021年全年净利润2248.2亿元,97.34,2014-4-7
腾讯控股：金融科技及企业服务业务收入同比增长34%至1722亿元,98.89,2014-4-8
腾讯2021年全年净利润2248.2亿元 预估1619.9亿元,101.61,2014-4-9
腾讯控股：2021年年第四季 未成年人游戏总时长同比减少88% 占本土市场游戏总时长的0.9%,109.27,2014-4-10
腾讯控股：微信及WECHAT的月活跃帐户12.7亿,101.9,2014-4-11
腾讯控股：2021年本土市场游戏收入增长6% 国际市场游戏收入增长31%,102.09,2014-4-14
腾讯2021年营收5601亿元,100.15,2014-4-15
腾讯财报披露：处置京东集团股份收益782亿元,101.22,2014-4-16
腾讯2021年净利同比增41% 四季度数实经济收入首超游戏,101.99,2014-4-17
腾讯2021年收入增长16%至5601亿元 连续两季度净利润负增长,101.8,2014-4-22
腾讯：2021年全年净利润(Non-IFRS)1237.88亿元,102.67,2014-4-23
腾讯连续两季净利负增长 加大战略业务和科技创新投入,103.35,2014-4-24
腾讯净利增速创十年来新低 处置京东股份收益782亿元,101.61,2014-4-25
腾讯：2021年净利润2248.2亿 未成年人游戏时长减88%,98.69,2014-4-28
腾讯2021年Non-IFRS净利同比微增1% 为近十年来增幅最低,98.89,2014-4-29
腾讯2021年收入达5601亿元 四季度数实经济收入首超游戏,93.78,2014-4-30
腾讯去年营收5601.18亿元 出售京东股份收益782亿元,96.15,2014-5-2
腾讯：2021年四季度未成年人游戏流水占比1.5% 相关影响预计下半年全面消化,95.61,2014-5-5
腾讯2021年收入5601亿元 研发投入增33%创新高,91.96,2014-5-7
连续两季净利负增长 腾讯2021年净利润增幅创近十年新低,91.92,2014-5-8
腾讯金融科技与企业服务2021年收入1722亿元 同比增长34%,92.93,2014-5-9
近十年来净利增幅最低！腾讯2021年净利润同比上涨1%,97.82,2014-5-12
腾讯控股获南向资金连续3天净买入,98.5,2014-5-13
【业绩会回看】腾讯财报刷屏！一笔大赚超780亿 马化腾发声！,99.76,2014-5-14
净利仅增1%！4万亿腾讯年报出炉 总裁刘炽平：互联网正遭遇结构性挑战和改变,105.58,2014-5-15
腾讯说好的超千亿港元“红包” 即将派发！年报还出现这个大变化！,103.35,2014-5-16
To B收入首超游戏 腾讯刘炽平解读净利下滑背后的产业化转型,104.42,2014-5-19
腾讯现十年来净利润增幅最低年份 数实经济收入首超游戏,108.59,2014-5-20
腾讯2021年业绩增速放缓 B端收入首超游戏,108.4,2014-5-21
腾讯刘炽平：对亏损业务进行成本优化，预计今年人员仍将增长,108.98,2014-5-22
每经20点|证监会推进金融反腐和处置金融风险；南向资金净买入腾讯12亿港元,107.82,2014-5-23
腾讯首度回应“组织优化传闻” 行业正在结构性转变 预计2022年人员仍会增长,108.11,2014-5-26
腾讯总裁刘炽平首度回应裁员传闻：预计2022年人员仍会增长,108.11,2014-5-27
关于裁员、游戏业务、金融监管、元宇宙等话题 腾讯高管作出了回应,109.95,2014-5-28
腾讯2021年研发投入增33%创新高 三年研发投入超1200亿元,106.55,2014-5-29
腾讯CEO马化腾：在元宇宙概念方面比较关注全真互联网,106.07,2014-5-30
腾讯净利增速创10年新低！处置京东股份收益782亿元 财报还透露这些重要信号,108.69,2014-6-3
受新闻、视频业务拖累 腾讯2021年第四季度媒体广告收入下降25%,105.97,2014-6-4
腾讯2021年研发投入增长33%创新高 研发人数同比增长41%,105.2,2014-6-5
刷屏！腾讯去年4季度净利骤降25% 连续两季负增长！处置京东收益782亿,105.0,2014-6-6
腾讯减速！去年净利仅增1% 连续两季度净利负增长 数字经济首超游戏板块成核心业务,107.33,2014-6-9
腾讯控股全年净利增1% 数实经济超越游戏板块,110.15,2014-6-10
